CohortMonth,CohortIndex,RetentionRate
2009-12,0,100.0
2010-01,0,100.0
2010-02,0,100.0
2010-03,0,100.0
2010-04,0,100.0
2010-05,0,100.0
2010-06,0,100.0
2010-07,0,100.0
2010-08,0,100.0
2010-09,0,100.0
2010-10,0,100.0
2010-11,0,100.0
2010-12,0,100.0
2011-01,0,100.0
2011-02,0,100.0
2011-03,0,100.0
2011-04,0,100.0
2011-05,0,100.0
2011-06,0,100.0
2011-07,0,100.0
2011-08,0,100.0
2011-09,0,100.0
2011-10,0,100.0
2011-11,0,100.0
2011-12,0,100.0
2009-12,1,35.3
2010-01,1,20.599999999999998
2010-02,1,23.799999999999997
2010-03,1,19.0
2010-04,1,19.400000000000002
2010-05,1,15.7
2010-06,1,17.4
2010-07,1,15.6
2010-08,1,20.4
2010-09,1,22.6
2010-10,1,25.7
2010-11,1,17.5
2010-12,1,9.2
2011-01,1,16.900000000000002
2011-02,1,16.1
2011-03,1,18.4
2011-04,1,25.5
2011-05,1,23.400000000000002
2011-06,1,23.1
2011-07,1,21.6
2011-08,1,27.400000000000002
2011-09,1,27.0
2011-10,1,32.1
2011-11,1,14.099999999999998
2011-12,1,
2009-12,2,33.4
2010-01,2,31.1
2010-02,2,22.5
2010-03,2,23.0
2010-04,2,19.400000000000002
2010-05,2,16.900000000000002
2010-06,2,18.9
2010-07,2,18.3
2010-08,2,29.599999999999998
2010-09,2,23.5
2010-10,2,14.6
2010-11,2,9.2
2010-12,2,5.3
2011-01,2,21.099999999999998
2011-02,2,15.299999999999999
2011-03,2,21.8
2011-04,2,19.8
2011-05,2,24.3
2011-06,2,21.3
2011-07,2,30.4
2011-08,2,31.1
2011-09,2,37.6
2011-10,2,15.8
2011-11,2,
2011-12,2,
2009-12,3,42.5
2010-01,3,30.5
2010-02,3,29.099999999999998
2010-03,3,24.2
2010-04,3,16.3
2010-05,3,17.299999999999997
2010-06,3,20.4
2010-07,3,29.599999999999998
2010-08,3,32.1
2010-09,3,12.3
2010-10,3,12.5
2010-11,3,9.5
2010-12,3,9.2
2011-01,3,19.7
2011-02,3,18.5
2011-03,3,20.1
2011-04,3,19.8
2011-05,3,16.2
2011-06,3,26.900000000000002
2011-07,3,27.500000000000004
2011-08,3,26.400000000000002
2011-09,3,14.799999999999999
2011-10,3,
2011-11,3,
2011-12,3,
2009-12,4,38.0
2010-01,4,26.400000000000002
2010-02,4,24.6
2010-03,4,23.3
2010-04,4,18.4
2010-05,4,17.7
2010-06,4,23.0
2010-07,4,28.999999999999996
2010-08,4,17.299999999999997
2010-09,4,9.1
2010-10,4,8.799999999999999
2010-11,4,7.7
2010-12,4,11.799999999999999
2011-01,4,21.099999999999998
2011-02,4,21.8
2011-03,4,22.3
2011-04,4,17.9
2011-05,4,21.6
2011-06,4,20.4
2011-07,4,34.300000000000004
2011-08,4,17.0
2011-09,4,
2011-10,4,
2011-11,4,
2011-12,4,
2009-12,5,35.9
2010-01,5,30.0
2010-02,5,20.1
2010-03,5,20.3
2010-04,5,22.400000000000002
2010-05,5,25.6
2010-06,5,28.499999999999996
2010-07,5,14.000000000000002
2010-08,5,11.700000000000001
2010-09,5,10.299999999999999
2010-10,5,8.200000000000001
2010-11,5,8.6
2010-12,5,6.6000000000000005
2011-01,5,15.5
2011-02,5,15.299999999999999
2011-03,5,15.1
2011-04,5,23.599999999999998
2011-05,5,20.7
2011-06,5,28.7
2011-07,5,15.7
2011-08,5,
2011-09,5,
2011-10,5,
2011-11,5,
2011-12,5,
2009-12,6,37.7
2010-01,6,25.8
2010-02,6,19.3
2010-03,6,24.6
2010-04,6,27.6
2010-05,6,21.3
2010-06,6,12.6
2010-07,6,11.3
2010-08,6,9.9
2010-09,6,13.600000000000001
2010-10,6,13.0
2010-11,6,12.9
2010-12,6,5.3
2011-01,6,15.5
2011-02,6,15.299999999999999
2011-03,6,20.7
2011-04,6,17.9
2011-05,6,26.1
2011-06,6,8.3
2011-07,6,
2011-08,6,
2011-09,6,
2011-10,6,
2011-11,6,
2011-12,6,
2009-12,7,34.2
2010-01,7,23.0
2010-02,7,28.599999999999998
2010-03,7,30.2
2010-04,7,26.200000000000003
2010-05,7,12.6
2010-06,7,8.9
2010-07,7,14.499999999999998
2010-08,7,12.3
2010-09,7,9.9
2010-10,7,13.8
2010-11,7,9.8
2010-12,7,9.2
2011-01,7,12.7
2011-02,7,14.499999999999998
2011-03,7,20.1
2011-04,7,25.5
2011-05,7,11.700000000000001
2011-06,7,
2011-07,7,
2011-08,7,
2011-09,7,
2011-10,7,
2011-11,7,
2011-12,7,
2009-12,8,33.6
2010-01,8,27.900000000000002
2010-02,8,25.4
2010-03,8,27.500000000000004
2010-04,8,10.5
2010-05,8,5.8999999999999995
2010-06,8,8.1
2010-07,8,14.499999999999998
2010-08,8,13.600000000000001
2010-09,8,12.8
2010-10,8,10.6
2010-11,8,8.6
2010-12,8,5.3
2011-01,8,11.3
2011-02,8,14.499999999999998
2011-03,8,24.0
2011-04,8,11.3
2011-05,8,
2011-06,8,
2011-07,8,
2011-08,8,
2011-09,8,
2011-10,8,
2011-11,8,
2011-12,8,
2009-12,9,36.199999999999996
2010-01,9,31.900000000000002
2010-02,9,27.500000000000004
2010-03,9,10.8
2010-04,9,10.9
2010-05,9,8.3
2010-06,9,11.899999999999999
2010-07,9,11.3
2010-08,9,13.0
2010-09,9,13.200000000000001
2010-10,9,9.3
2010-11,9,8.9
2010-12,9,2.6
